title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,image_url,artist_id,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Paykan,1970,1970-01-01,1970-01-01,"35mm film transferred  to digital format; color, sound, 22:37 min.",2014.32.8,104327,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104327,"","",7108,Kamran Shirdel,"Shirdel, Kamran","",Iranian,1939-01-01,"","Tehran, Iran",""
Gahvareh Khorshid [Cradle of Sun],2001,2001-01-01,2001-01-01,"video; color, sound, 53:16 min.",2014.32.1,104332,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104332,"","",7108,Kamran Shirdel,"Shirdel, Kamran","",Iranian,1939-01-01,"","Tehran, Iran",""
The Silver Canvas,1965,1965-01-01,1965-01-01,"35mm film transferred  to digital format; black and white, sound, 14:39 min.",2014.32.13,104420,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104420,"","",7108,Kamran Shirdel,"Shirdel, Kamran","",Iranian,1939-01-01,"","Tehran, Iran",""
Tile Fragment,no date,"","",ceramic,20.H,240,"","",Decorative Arts and Design,Not on View,4.187,0.313,3.5,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=240,"",http://www.cmoa.org/CollectionImage.aspx?irn=1913&size=Medium,4388,unknown,unknown,"",undetermined,"","","",""
Cup,1897,1897-01-01,1897-01-01,copper and brass,2012.53,100644,Gift of Eric Streiner,2013-02-14,Decorative Arts and Design,Not on View,0.0,5.625,0.0,6.0,http://www.cmoa.org/CollectionDetail.aspx?item=100644,"","",1006588,Tiffany & Co.,Tiffany & Co.,"",American,1837-01-01,"","",""
Tile Fragment,no date,"","",ceramic,17.H,226,"","",Decorative Arts and Design,Not on View,5.375,5.062,0.625,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=226,"",http://www.cmoa.org/CollectionImage.aspx?irn=855&size=Medium,4388,unknown,unknown,"",undetermined,"","","",""
Pearls of the Persian Gulf: Dubai,1975,1975-01-01,1975-01-01,"35mm film transferred to digital format: color, sound, 43 min.",2014.32.5,104337,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104337,"","",7108,Kamran Shirdel,"Shirdel, Kamran","",Iranian,1939-01-01,"","Tehran, Iran",""
Gli specchi [Mirrors],1964,1964-01-01,1964-01-01,"35mm film transferred  to digital format; black-and-white, sound, 9:36 min.",2014.32.7,104326,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104326,"","",7108,Kamran Shirdel,"Shirdel, Kamran","",Iranian,1939-01-01,"","Tehran, Iran",""
Figure of a Flying Sprite Kissing a Bird,no date,"","",ivory,11853.400,101,"","",Decorative Arts and Design,Not on View,4.062,10.688,4.125,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=101,H.J. Heinz collection,http://www.cmoa.org/CollectionImage.aspx?irn=814&size=Medium,3887,unknown European,unknown European,"",European,"","","",""
Cup and Saucer,c. 1836-1842,1831-01-01,1847-01-01,transfer printed glazed earthenware,48.3.14-.15,15382,Gift of Mrs. Lillian I. Ball,"",Decorative Arts and Design,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=15382,"",http://www.cmoa.org/CollectionImage.aspx?irn=1237&size=Medium|http://www.cmoa.org/CollectionImage.aspx?irn=1238&size=Medium,1007310,"Ridgway, Morley, Wear & Co.","Ridgway, Morley, Wear & Co.","",English,1842-01-01,1844-01-01,"",""
