company_link,company_name,job_link,job_location,job_summary,job_title
,TechStratium Inc.,http://www.indeed.com/company/TechStratium-Inc./jobs/Data-Scientist-aa9e304fdf37e89b?fccid=2da405d7f4573621,"Baltimore, MD","Experience with data visualization of insights gained from complex data set analysis. TechStratium is hiring Data Scientists to join our team in Baltimore, MD....",Data Scientist
http://www.indeed.com/cmp/Akamai-Technologies,Akamai,http://www.indeed.com/rc/clk?jk=af5d288afac40e48&fccid=9c094dedde5fb497,"Santa Clara, CA","Masters or higher degree in applied math, statistics, machine learning, computer science or relevant subject....",Data Scientist..
http://www.indeed.com/cmp/SAS-Institute,SAS Institute,http://www.indeed.com/rc/clk?jk=ea7f95b2729e4df4&fccid=068cc3667458485a,"Cary, NC","We work closely with deep learning scientists, cognitive computing experts and computational linguists to supporting over 30 languages around the globe....",Data Scientist - Speech-to-Text NLP
http://www.indeed.com/cmp/Blackrock-Inc.,BlackRock,http://www.indeed.com/rc/clk?jk=e4ae3d5a0b7c9106&fccid=58c732f14833248a,"New York, NY 10001 (Chelsea area)","We are looking for a data scientist with advanced skills in mathematics, technology and data mining to help build algorithms that leverage large quantities of...",People Analytics & Research Data Scientist
http://www.indeed.com/cmp/Mylan,Mylan,http://www.indeed.com/rc/clk?jk=a7a674d907efbde1&fccid=38c6ffdbaba2dc01,"Morgantown, WV","Support initiatives including programming in the area of clinical data management and statistical analysis. By doing so, we will continue to set new standards...","Intern, Statistical Programmer"
http://www.indeed.com/cmp/Lawrence-Livermore-National-Laboratory,Lawrence Livermore National Laboratory,http://www.indeed.com/rc/clk?jk=50b0f06c1b184ae4&fccid=26727f1861532c63,"Livermore, CA 94550","We have multiple openings for Engineers, Computer Scientists, Data Engineers, Applied Statisticians, or Applied Mathematicians....",Machine Learning Engineer
http://www.indeed.com/cmp/University-of-Dayton,University of Dayton,http://www.indeed.com/rc/clk?jk=c6f8f671ca4c78b3&fccid=f2c4f34c75d0143a,"Dayton, OH","Experience with Machine Learning, Neural Networks, Data Mining techniques. Bachelors in a relevant discipline plus a minimum of eight (8) years equivalent...",Senior Data Scientist
http://www.indeed.com/cmp/Altair-Engineering,Altair Engineering,http://www.indeed.com/company/Altair-Engineering/jobs/Statistical-Business-Analyst-f1276f4496734854?fccid=3453268f43beb582,"Raymond, OH","Altair ProductDesign is a global, multi-disciplinary product development consultancy of more than 700 designers, engineers, scientists, and creative thinkers....",Statistical Business Analyst
http://www.indeed.com/cmp/Akron-General-Health-System,Akron General Health System,http://www.indeed.com/rc/clk?jk=6a7a660d650a6b51&fccid=2c547debfa7f19ec,"Akron, OH","Under the direct supervision of the Supervisor, Health Information Management, the Clerk, Data Analysis Release of Information (ROI), is responsible for...",Clerk Data Analysis ROI
http://www.indeed.com/cmp/Endeavor,Endeavor,http://www.indeed.com/rc/clk?jk=721d5308a7594720&fccid=f20e613552c29d10,"Louisville, KY","Our Chief Data Scientist will be tasked with representing the scientific goals and interests of Edj Analytics at industry conferences, meetings, conventions and...",Chief Data Scientist
