company_link,company_name,job_link,job_location,job_summary,job_title
http://www.indeed.com/cmp/Allegheny-General-Hospital,Allegheny General Hospital,http://www.indeed.com/rc/clk?jk=805f6ed65b49dd6c&fccid=e465bbb27024ea32,"Pittsburgh, PA",Allegheny Health Network’s clinical expertise ranges from primary care to the most complex surgical procedures....,Research Data Analyst - Neurosurgery
http://www.indeed.com/cmp/Marathon-Oil,Marathon Petroleum Corporation,http://www.indeed.com/rc/clk?jk=b28767d68e08b181&fccid=5d5a6da16805aead,"Findlay, OH",The vision for the Advanced Analytics team is to deliver competitive advantage by transforming data into business insights....,Data Scientist
http://www.indeed.com/cmp/Oracle,Oracle,http://www.indeed.com/rc/clk?jk=56e6eae3c307f95f&fccid=cd22d01053af7669,United States,The Cloud Data Curation team is looking for Scientists. Expected to read and curate the scientific literature and other data sources....,Data Scientist 5
http://www.indeed.com/cmp/Google,Google,http://www.indeed.com/rc/clk?jk=35f4fa4d806cc985&fccid=a5b4499d9e91a5c6,"Mountain View, CA","From creating experiments and prototyping implementations to designing new learning algorithms, Research Scientists work on challenges in machine perception,...","Research Scientist, Google Brain (United States)"
http://www.indeed.com/cmp/Childrens-Hospital-Los-Angeles,Childrens Hospital Los Angeles,http://www.indeed.com/rc/clk?jk=ff4d4e425d9c766c&fccid=08b3b2968b0d2037,"Los Angeles, CA",The Data Scientist conducts research in medical applications of data science by applying techniques and models from machine learning and computational...,"Data Scientist, VPICU"
http://www.indeed.com/cmp/Protective-Life-Corporation,Protective Life Corporation,http://www.indeed.com/rc/clk?jk=692b155b8fcaef85&fccid=df855a78883f8a1c,"Birmingham, AL 35223",Risk Based Data Scientist. The Risk Based Analytics team of the Product Development division of Protective Life Corporation has an opening for a Data Scientist...,Risk Based Data Scientist
,DataRobot,http://www.indeed.com/rc/clk?jk=9efcde02e2114859&fccid=ccacdb1cb7d4a077,"San Francisco, CA",Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,Customer Facing Data Scientist
http://www.indeed.com/cmp/Stanford-University,Stanford University,http://www.indeed.com/rc/clk?jk=f76b931b6e6f1faf&fccid=1ba7f338730ce720,"Stanford, CA 94305","The Wall Lab in the Department of Pediatrics is seeking a Research Data Analyst 2 to manage and analyze large amounts of information, typically technical or...",Research Data Analyst
http://www.indeed.com/cmp/Honeywell,Honeywell,http://www.indeed.com/rc/clk?jk=132ddb28887f2b6f&fccid=50208b5bf45ee3b8,"Phoenix, AZ","Senior Data Scientist - Forecasting. As such, we are investing heavily in our data science capabilities and establishing a data science & analytics team,...",Sr. Data Scientist - Forecasting
http://www.indeed.com/cmp/Google,Google,http://www.indeed.com/rc/clk?jk=1d49e369e2e3e19b&fccid=a5b4499d9e91a5c6,"Mountain View, CA","From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...","Research Scientist, Machine Learning and Intelligence"
,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywaY5Go_cV5C2bBkvRuDfPXVxw1Hw76HhikKQM8ivCcnGttDCyQXXu-wvnaXGkInvsnUTYyLQsQiNA5S1t3vpAvZ1X4H-8poXDwRhPb4ZddDqquMSkXGfMVOivNMq7LupIQp7YceucipzLwXphPGabGxt3NVaXYJaNFNi1R9aT3MmUBr0rSSInOa9OMMcOrFBn---zLIjDkW3meD9RO59pEDHhJF3NmWIQ-BwJVIEfp3dqf4vevcEJ6H_ZlQYpDxu1QiBlAAZyn1YKOnIODR0IfYw==&p=1&sk=&fvj=1,"Charlotte, NC 28277",2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
http://www.indeed.com/cmp/Novetta,Novetta,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZbghDog6eAFViHltrtimeH7IE6OveQ-GQud_7SkddKZ31ufd3YNXn3pfpzCV9ckU8aF4FXEMdNMMuriPqwkORncW9ijpAUQMteJKA5qO_YPdZyJ6yQp__XO5UMaH6318gaUwG-w8bOWQ0mwrowcbvu_62y9bkjAviqWhlqZ2wUHcoLbBfLbsgAYI_MAJaXsNtEM31cGLJiAhbzSGrUbst2t-iX-UtAF2VLW0XE9TzE6rG6Ot5A7tE6KnLZALus5jxFtWhHBSUONwXRhFckBdFtWcdk9S29sEEqM6rqPa7NPyUwV5Q4Lbz_HQkFRiYPYSIpWl64mraNd3v1JxJDwXEGQsekRLqJUrg7TIghBqvuAfwkxclr9x1Dt_av4awCjp0MhIaIM4YjJZ29STRb7EDSleJkpWScVqmXvg2nqK1xe1D6LWW0QJ8t_lKsEpawKhLdvXa_8XDCYVGAmByOhXAZlv4MlzjWQ9qxeOdiOO1JRF1Wy_dpoKTaDi7Jdmh3Gy5hO20FOHDegf3wbIA4-Mu7GLtu6G-uiyYjcPmiET1z9SUHiYqtLRcNFi-t68UBb1yYJVrhha4T6YVEaa_vDoMUa_Ab3GJ8IjmSVUutkHsaOKK8ck6CRcpDelNK9yIvkMHTG6ZD2Wiz1ki2lRAGnyiXgsByC5Fl9sndnzYNmINNEhCTXJlvK4vQOCRnK2wAvH6vsmUVzT6HgT6WS7oOKuI6JLN0xwDvlhWayrFwYNb-qBCLh7_F5co_lvEVXlQPhylgmRTvRfM2A4nozrZgiEOLoQGFvuS9LB4V-BQsCz-jk5OeGv9GlKaI-102iqhfE9J1LD7bpRQBw==&p=2&sk=&fvj=0,"Crystal City, VA","Experience applying data mining and machine learning techniques in a professional context. Knowledge of data mining and machine learning algorithms, theories,...",Data Scientist
,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEE2JfkGgWeLvch1f0IJPupPMnCYQZXzTCpKNTqsJLsNEQbr-8M7UeBswq33p8mFJ1H2YcG4lS3MZJICbGobeUbzTxZzUy4NbVb3Vs00TSFe0Jvnc9_mC4i7V63CNnG-yQ71ciOqyVVmpvP2MRp498MXlqTYdZ4kODnWJQZkwxRIM1MKQvKTH5ZJ_3Y8heeD7EcwasE08Qk2leIJYnV1SThgUm_lS1VRv5KtBwGnVH0Iz9VHuGAXumUNAElDNLqUbXM&p=3&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywat9mGc-I5TUAymIYFBXXqU7SvG0Vv3Laarq08qra6wirI6n-hk7tsgGPC1g1tJ399Zc8g02Bx4RsBMKFhDw1vWFzR08H4vuBI4PsZ6uouQajcQ9ymacLxuOtjBtNpXgbv296EWqCDc9vw41-MVWev51Miwdp7nJnCshpGltOu4Ru4jrgyDm5k_v9qgmXNsK1lhYhSTrDEsgQ-AXu62XIOagJnupQMKWw5sfjECe0VeZWrcTEVXAw31jUy2_BuTwC5NXGeNl8tjbsoLo2_4nHd1Q==&p=1&sk=&fvj=1,"Charlotte, NC 28277",2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
