,description,id,location,name,price,seller,strikethrough-price,url
0,"It's all about thinking outside the box and getting your hands dirty at Little House Big Art, the charming Northside art studio bathed in a rainbow...",1558890,Pittsburgh,Pottery-Making Class or Studio Rental Party,$24.99,Little House Big Art,$50,https://www.livingsocial.com/deals/1558890-pottery-making-class-or-studio-rental-party?pos=0
1,"Whether you prefer the tactical nuances of woods paintball, the fast-paced teamwork of PSP tournament play, or the organized chaos of zombie huntin...",1479546,Pittsburgh,All-Day Paintball Field Pass,$12,Pittsburgh Paintball Park,$25,https://www.livingsocial.com/deals/1479546-all-day-paintball-field-pass?pos=1
2,"The owners of this massage studio love seeing positive changes in their clients -- so you can count on this caring team to help you shed stress, ea...",1516152,Pittsburgh,"Swedish, Deep-Tissue, or Prenatal Massage",$39,Honor Your Body Wellness,$75,https://www.livingsocial.com/deals/1516152-swedish-deep-tissue-or-prenatal-massage?pos=2
3,"Whether you're an aspiring professional or you've never picked up a blush brush, you can find a makeup class to your taste through this service. Us...",1480622,Pittsburgh,Group or Private Makeup Class,$32,The Powder Room PA,$55,https://www.livingsocial.com/deals/1480622-group-or-private-makeup-class?pos=3
4,Personalize a piece of canvas or pottery -- all the while sipping and socializing with friends -- when you spend a weeknight or Saturday within thi...,1308702,Pittsburgh,BYOB Canvas or Pottery Painting,$22,Kiln N Time,$35,https://www.livingsocial.com/deals/1308702-byob-canvas-or-pottery-painting?pos=4
5,"With offices in Natrona Heights, Aspinwall, Lower Burrell, and Leechburg, Dr. Lamparski's team serves most of Pittsburgh's northern suburbs -- whic...",1567318,"Natrona Heights, Aspinwall","$2,000 Toward a Full Invisalign Treatment",$149.99,Lamparski Orthodontics,$2000,https://www.livingsocial.com/deals/1567318-2-000-toward-a-full-invisalign-treatment?pos=5
6,"Looking for an affordable meeting space that's quick and simple to rent? The Cafe at Playdate 4 Kids makes a great space for business meetings, net...",1528702,Pittsburgh,$80 Toward Meeting Space Rentals,$65,The Cafe at Playdate 4 Kids,$80,https://www.livingsocial.com/deals/1528702-80-toward-meeting-space-rentals?pos=6
7,"The household name for women's health and fitness in more than 85 countries, Curves offers a complete workout for the busy mom, the budget-consciou...",1551878,Pittsburgh,1-Month Membership with Unlimited Curves Classes,$29.99,Curves PA - Mt. Lebanon/Castle Shannon,$149,https://www.livingsocial.com/deals/1551878-1-month-membership-with-unlimited-curves-classes?pos=7
8,"Check out hundreds of comics and collectibles in the Con's marketplace and find great sketches, lithographs, and more in the Artists Alley. Meet co...",1598614,Pittsburgh,Ticket to Wizard World Pittsburgh Comic Con,$23.99,Wizard World Pittsburgh,$41.54,https://www.livingsocial.com/events/1598614-ticket-to-wizard-world-pittsburgh-comic-con?pos=8
9,"You've got a lot riding on your wheels, and this deal can help you treat it to the TLC it deserves:

• $79 ($200 value) for a complete car detail...",1308714,Pittsburgh,Complete Auto Detailing,$79,Bigelow Blvd Detail and Car Wash,$200,https://www.livingsocial.com/deals/1308714-complete-auto-detailing?pos=9
10,"About This Service Provider
Oliverio Hair and Nails Facebook 
_____• $29.99 ($60.00 value) for A. Manicure and Pedicure• $19.99 ($40.00 value) fo...",1600806,Pittsburgh,Manicure and Pedicure,$29.99,Oliverio Hair and Nails,$60,https://www.livingsocial.com/deals/1600806-manicure-and-pedicure?pos=10
11,"Trust your family's smiles with Dr. Richard Dahar, who was named one of the city's top orthodontists by Pittsburgh Magazine:

• $29.99 ($750 valu...",1584450,"Zelienople, Avalon",Exam and $500 Toward Children's Braces,$29.99,Smiles by Dahar,$750,https://www.livingsocial.com/deals/1584450-exam-and-500-toward-children-s-braces?pos=11
12,"Professional photographer Krystal Healy has been snapping weddings, families, and high school seniors since 2009. Let her use her love for photogra...",1323466,"Pittsburgh, Pittsburgh",90-Minute In-Studio Boudoir Photo Shoot,$90,Allure Boudoir,$250,https://www.livingsocial.com/deals/1323466-90-minute-in-studio-boudoir-photo-shoot?pos=12
13,"Build the body you've always wanted with this deal from Totally Yoga, which offers hot yoga classes dedicated to performing the 26 traditional pose...",1319700,Pittsburgh,Hot Yoga Classes,$45,Totally Yoga,$100,https://www.livingsocial.com/deals/1319700-hot-yoga-classes?pos=13
14,"Why You'll Love It
Learn more about this bike park
Learn more about lessons
The Wheel Mill Website | Facebook
_____• $24.99 ($46.00 value) for ...",1594620,Pittsburgh,Admission to BMX and Mountain Bike Park,$24.99,The Wheel Mill,$46,https://www.livingsocial.com/deals/1594620-admission-to-bmx-and-mountain-bike-park?pos=14
15,"At this casual Munhall spot, diners are just as taken with friendly service and comfortable atmosphere as they are with the juicy burgers, homemade...",1481630,Munhall,$10 or $20 to Spend on Food & Non-Alcoholic Drinks,$10,Falce's Restaurant,$20,https://www.livingsocial.com/deals/1481630-10-or-20-to-spend-on-food-non-alcoholic-drinks?pos=15
16,Powered by SeatGeek,1567782,Pittsburgh,Kenny Chesney with Miranda Lambert and More,$72,"Kenny Chesney with Miranda Lambert, Sam Hunt, and Old Dominion via SeatGeek",,https://www.livingsocial.com/events/1567782-kenny-chesney-with-miranda-lambert-and-more?pos=16
17,Powered by SeatGeek,1573682,Pittsburgh,Justin Bieber Concert on July 13,$148,Justin Bieber Concert via SeatGeek,,https://www.livingsocial.com/events/1573682-justin-bieber-concert-on-july-13?pos=17
18,"In a world of zombie fiction, movies, and TV shows, there's one experience that puts these post-apocalyptic fads to shame -- escaping from a room w...",1564862,Pittsburgh,"Ticket to ""Trapped In A Room With A Zombie""",$19.99,Daring Escapes,$28,https://www.livingsocial.com/deals/1564862-ticket-to-trapped-in-a-room-with-a-zombie?pos=18
19,"Since 1976, the crew of this family-owned-and-operated business has treated every car like it was part of their own fleet. Give yours the TLC it de...",1380288,Homestead,Remote Car Starter and Installation,$159,Waterfront Auto Complex,$329,https://www.livingsocial.com/deals/1380288-remote-car-starter-and-installation?pos=19
20,"Trying to throw a party for someone who's done it all? Bring everyone to a private, regular-size karaoke room at this unique North Oakland karaoke ...",1545922,Pittsburgh,2-Hour Karaoke Room Rental for 8 People,$28.99,KBOX Karaoke House,$59,https://www.livingsocial.com/deals/1545922-2-hour-karaoke-room-rental-for-8-people?pos=20
21,"Indulge or improve: treat your skin to a luxurious French clay facial, or focus on revitalizing tired or damaged skin with chemical peels.  The cho...",1550652,Pittsburgh,Organic French Clay Facial or 1 or 3 Peels,$39.99,East Side Laser Center,$80,https://www.livingsocial.com/deals/1550652-organic-french-clay-facial-or-1-or-3-peels?pos=21
22,"More than 2,100 Facebook likes! 

You've taken toe-tapping and hip-swaying as far as it will go, but still harbor a secret fantasy of waltzing li...",1399828,Pittsburgh,Wedding Dance Lesson and More,$19,Pittsburgh Dance Center,$60,https://www.livingsocial.com/deals/1399828-wedding-dance-lesson-and-more?pos=22
23,"Your old home VHS tapes are precious. Preserve your family's memories with some help from this video pro, who will convert and digitize old footage...",1527382,Pittsburgh,$20 Toward VHS-to-DVD Conversion,$10,ACBA Video,$20,https://www.livingsocial.com/deals/1527382-20-toward-vhs-to-dvd-conversion?pos=23
24,"The household name for women's health and fitness in more than 85 countries, Curves offers a complete workout for the busy mom, the budget-consciou...",1551808,"Pittsburgh, McKees Rocks",1-Month Membership with Unlimited Curves Classes,$29.99,Curves PA,$149,https://www.livingsocial.com/deals/1551808-1-month-membership-with-unlimited-curves-classes?pos=24
25,Powered by SeatGeek,1591014,Pittsburgh,Billy Joel Concert on July 1,$89,Billy Joel via SeatGeek,,https://www.livingsocial.com/events/1591014-billy-joel-concert-on-july-1?pos=25
26,"
Soar, swing, and glide through the air during a pair of core- and muscle-challenging aerial silks classes.  Develop grace and flexibility when yo...",1570334,Pittsburgh,Two 1-Hour or Private Aerial Silks Classes for Age,$22.99,Pittsburgh Aerial Silks,$46,https://www.livingsocial.com/deals/1570334-two-1-hour-or-private-aerial-silks-classes-for-age?pos=26
27,This health and wellness studio pairs soothing spa treatments with restorative Pilates and yoga classes -- creating a truly complete wellness packa...,1540784,Pittsburgh,One-Hour Laser Hair Treatment,$300,Verve 360,$850,https://www.livingsocial.com/deals/1540784-one-hour-laser-hair-treatment?pos=27
28,"About This Service Provider
Margaret's Fine Imports Website | Facebook
_____• $11.99 ($25.00 value) for A. One Introductory Tea Class with Classi...",1599724,Pittsburgh, Introductory Tea Class with Classic Tea Sampler,$11.99,Margaret's Fine Imports,$25,https://www.livingsocial.com/deals/1599724-introductory-tea-class-with-classic-tea-sampler?pos=28
29,"The household name for women's health and fitness in more than 85 countries, Curves offers a complete workout for the busy mom, the budget-consciou...",1551832,Carnegie,1-Month Membership with Unlimited Curves Classes,$29.99,Curves PA - Collier/Scott,$149,https://www.livingsocial.com/deals/1551832-1-month-membership-with-unlimited-curves-classes?pos=29
30,"Why You'll Love It
Learn more about this myofascial release
Root Therapeutics Website
_____• $89.99 ($130.00 value) for 90-Minute Structural Int...",1592332,Pittsburgh,Structural Integration (Myofascial Release),$89.99,Root Therapeutics,$130,https://www.livingsocial.com/deals/1592332-structural-integration-myofascial-release?pos=30
31,"The salon and spa staff at this relaxing oasis received classes throughout the year to ensure everyone stays on-trend, and this deal can put that p...",1589158,Pittsburgh,"Haircut, Color, Deep-Conditioning, and Style",$54.99,A Peace of Eden Spa,$110,https://www.livingsocial.com/deals/1589158-haircut-color-deep-conditioning-and-style?pos=31
